proof	time_s	status
audit_force_realize_preserves_warmup_start	2	PASS
crank_bounds_respected	2	PASS
fast_account_equity_computes_correctly	1	PASS
fast_frame_deposit_only_mutates_one_account_vault_and_warmup	2	PASS
fast_frame_execute_trade_only_mutates_two_accounts	6	PASS
fast_frame_settle_warmup_only_mutates_one_account_and_warmup_globals	5	PASS
fast_frame_touch_account_only_mutates_one_account	2	PASS
fast_frame_update_warmup_slope_only_mutates_one_account	2	PASS
fast_frame_withdraw_only_mutates_one_account_vault_and_warmup	2	PASS
fast_i2_deposit_preserves_conservation	1	PASS
fast_i2_withdraw_preserves_conservation	2	PASS
fast_maintenance_margin_uses_equity_including_negative_pnl	13	PASS
fast_neg_pnl_after_settle_implies_zero_capital	2	PASS
fast_neg_pnl_settles_into_capital_independent_of_warm_cap	3	PASS
fast_valid_preserved_by_deposit	1	PASS
fast_valid_preserved_by_execute_trade	5	PASS
fast_valid_preserved_by_force_realize_losses	3	PASS
fast_valid_preserved_by_garbage_collect_dust	1	PASS
fast_valid_preserved_by_panic_settle_all	8	PASS
fast_valid_preserved_by_settle_warmup_to_capital	4	PASS
fast_valid_preserved_by_top_up_insurance_fund	0	PASS
fast_valid_preserved_by_withdraw	2	PASS
fast_withdraw_cannot_bypass_losses_when_position_zero	3	PASS
funding_p1_settlement_idempotent	12	PASS
funding_p2_never_touches_principal	4	PASS
funding_p3_bounded_drift_between_opposite_positions	9	PASS
funding_p4_settle_before_position_change	7	PASS
funding_p5_bounded_operations_no_overflow	2	PASS
funding_zero_position_no_change	1	PASS
gc_frees_only_true_dust	2	PASS
gc_never_frees_account_with_positive_value	5	PASS
gc_respects_full_dust_predicate	4	PASS
i5_warmup_bounded_by_pnl	2	PASS
i5_warmup_determinism	3	PASS
i5_warmup_monotonicity	2	PASS
i7_user_isolation_deposit	2	PASS
i7_user_isolation_withdrawal	2	PASS
i8_equity_with_negative_pnl	1	PASS
i8_equity_with_positive_pnl	1	PASS
kani_cross_lp_close_no_pnl_teleport	9	PASS
kani_no_teleport_cross_lp_close	5	PASS
kani_rejects_invalid_matcher_output	2	PASS
maintenance_margin_uses_equity_negative_pnl	1	PASS
neg_pnl_is_realized_immediately_by_settle	2	PASS
neg_pnl_settlement_does_not_depend_on_elapsed_or_slope	4	PASS
negative_pnl_withdrawable_is_zero	1	PASS
panic_settle_clamps_negative_pnl	7	PASS
panic_settle_closes_all_positions	2	PASS
panic_settle_preserves_conservation	3	PASS
pnl_withdrawal_requires_warmup	3	PASS
proof_add_user_structural_integrity	0	PASS
proof_c1_conservation_bounded_slack_force_realize	3	PASS
proof_c1_conservation_bounded_slack_panic_settle	7	PASS
proof_close_account_includes_warmed_pnl	2	PASS
proof_close_account_negative_pnl_written_off	2	PASS
proof_close_account_preserves_inv	3	PASS
proof_close_account_rejects_positive_pnl	2	PASS
proof_close_account_requires_flat_and_paid	7	PASS
proof_close_account_structural_integrity	2	PASS
proof_crank_with_funding_preserves_inv	201	PASS
proof_deposit_preserves_inv	2	PASS
proof_effective_equity_with_haircut	40	PASS
proof_execute_trade_conservation	21	PASS
proof_execute_trade_margin_enforcement	63	PASS
proof_execute_trade_preserves_inv	21	PASS
proof_fee_credits_never_inflate_from_settle	2	PASS
proof_force_realize_preserves_inv	2	PASS
proof_gc_dust_preserves_inv	2	PASS
proof_gc_dust_structural_integrity	2	PASS
proof_haircut_ratio_formula_correctness	1	PASS
proof_inv_holds_for_new_engine	1	PASS
proof_inv_preserved_by_add_lp	1	PASS
proof_inv_preserved_by_add_user	1	PASS
proof_keeper_crank_advances_slot_monotonically	3	PASS
proof_keeper_crank_best_effort_liquidation	3	PASS
proof_keeper_crank_best_effort_settle	10	PASS
proof_keeper_crank_forgives_half_slots	8	PASS
proof_keeper_crank_preserves_inv	3	PASS
proof_liq_partial_1_safety_after_liquidation	3	PASS
proof_liq_partial_2_dust_elimination	3	PASS
proof_liq_partial_3_routing_is_complete_via_conservation_and_n1	4	PASS
proof_liq_partial_4_conservation_preservation	4	PASS
proof_liq_partial_deterministic_reaches_target_or_full_close	3	PASS
proof_liquidate_preserves_inv	4	PASS
proof_liveness_after_loss_writeoff	2	PASS
proof_lq1_liquidation_reduces_oi_and_enforces_safety	3	PASS
proof_lq2_liquidation_preserves_conservation	4	PASS
proof_lq3a_profit_routes_through_adl	4	PASS
proof_lq4_liquidation_fee_paid_to_insurance	3	PASS
proof_lq6_n1_boundary_after_liquidation	3	PASS
proof_net_extraction_bounded_with_fee_credits	62	PASS
proof_principal_protection_across_accounts	2	PASS
proof_profit_conversion_payout_formula	28	PASS
proof_ps5_panic_settle_no_insurance_minting	6	PASS
proof_require_fresh_crank_gates_stale	1	PASS
proof_rounding_slack_bound	169	PASS
proof_sequence_deposit_crank_withdraw	16	PASS
proof_sequence_deposit_trade_liquidate	4	PASS
proof_set_risk_reduction_threshold_updates	1	PASS
proof_settle_maintenance_deducts_correctly	2	PASS
proof_settle_warmup_negative_pnl_immediate	2	PASS
proof_settle_warmup_preserves_inv	2	PASS
proof_stale_crank_blocks_execute_trade	3	PASS
proof_stale_crank_blocks_withdraw	2	PASS
proof_total_open_interest_initial	1	PASS
proof_trade_creates_funding_settled_positions	7	PASS
proof_trade_pnl_zero_sum	42	PASS
proof_trading_credits_fee_to_user	3	PASS
proof_variation_margin_no_pnl_teleport	270	PASS
proof_warmup_slope_nonzero_when_positive_pnl	1	PASS
proof_withdraw_preserves_inv	3	PASS
saturating_arithmetic_prevents_overflow	1	PASS
withdraw_calls_settle_enforces_pnl_or_zero_capital_post	3	PASS
withdraw_im_check_blocks_when_equity_after_withdraw_below_im	2	PASS
withdrawal_maintains_margin_above_maintenance	107	PASS
withdrawal_rejects_if_below_initial_margin_at_oracle	2	PASS
withdrawal_requires_sufficient_balance	2	PASS
zero_pnl_withdrawable_is_zero	1	PASS
